age,individuals,deaths,q1k,p1k,obsyears,survprobfit,explongevity
0,100000,266,2.66457,997.33543,99749,0.9997378,80.135
1,99734,21,0.20925,999.79075,99723,0.9998186,79.348
2,99713,15,0.15361,999.84639,99705,0.9998664,78.365
3,99697,11,0.11352,999.88648,99692,0.9999,77.376
4,99686,9,0.08644,999.91356,99682,0.9999199,76.385
5,99677,7,0.0738,999.9262,99674,0.9999265,75.392
6,99670,7,0.07314,999.92686,99666,0.999929,74.397
7,99663,7,0.06893,999.93107,99659,0.9999309,73.403
8,99656,7,0.06925,999.93075,99652,0.9999318,72.408
9,99649,7,0.06721,999.93279,99646,0.9999296,71.413
10,99642,7,0.0735,999.9265,99639,0.999927,70.417
11,99635,7,0.07256,999.92744,99631,0.9999246,69.423
12,99628,8,0.07828,999.92172,99624,0.9999143,68.428
13,99620,9,0.09319,999.90681,99615,0.9998942,67.433
14,99611,12,0.11847,999.88153,99605,0.9998629,66.439
15,99599,16,0.15581,999.84419,99591,0.999821,65.447
16,99583,20,0.20228,999.79772,99573,0.9997692,64.457
17,99563,26,0.25942,999.74058,99550,0.999717,63.47
18,99537,31,0.30659,999.69341,99522,0.9996785,62.486
19,99507,33,0.33644,999.66356,99490,0.9996505,61.505
20,99473,36,0.36257,999.63743,99455,0.9996302,60.526
21,99437,37,0.37698,999.62302,99419,0.9996163,59.548
22,99400,39,0.39047,999.60953,99380,0.9996064,58.57
23,99361,39,0.3968,999.6032,99341,0.9995976,57.593
24,99322,41,0.40797,999.59203,99301,0.9995893,56.615
25,99281,41,0.41351,999.58649,99261,0.9995717,55.638
26,99240,44,0.44301,999.55699,99218,0.9995472,54.661
27,99196,46,0.46254,999.53746,99173,0.9995324,53.685
28,99150,47,0.47259,999.52741,99127,0.9995311,52.71
29,99103,46,0.46523,999.53477,99080,0.9995231,51.734
30,99057,48,0.48858,999.51142,99033,0.9994988,50.758
31,99009,51,0.51392,999.48608,98983,0.9994724,49.783
32,98958,54,0.54132,999.45868,98931,0.9994426,48.808
33,98904,57,0.57354,999.42646,98876,0.9994112,47.834
34,98848,60,0.60415,999.39585,98818,0.999383,46.861
35,98788,62,0.62984,999.37016,98757,0.9993427,45.889
36,98726,68,0.68477,999.31523,98692,0.9992902,44.918
37,98658,72,0.73484,999.26516,98622,0.9992369,43.948
38,98586,78,0.79131,999.20869,98547,0.9991694,42.98
39,98508,86,0.86991,999.13009,98465,0.9990822,42.014
40,98422,95,0.96567,999.03433,98374,0.9989776,41.05
41,98327,106,1.07919,998.92081,98274,0.9988588,40.089
42,98221,118,1.20336,998.79664,98162,0.9987319,39.132
43,98103,131,1.33283,998.66717,98037,0.9986011,38.179
44,97972,144,1.46508,998.53492,97900,0.998487,37.229
45,97828,153,1.56095,998.43905,97752,0.9983798,36.283
46,97676,164,1.67947,998.32053,97594,0.9982489,35.339
47,97512,178,1.82281,998.17719,97423,0.9980853,34.397
48,97334,195,2.00672,997.99328,97236,0.9978527,33.459
49,97138,222,2.28825,997.71175,97027,0.9975698,32.526
50,96916,249,2.57245,997.42755,96792,0.9972773,31.599
51,96667,278,2.87343,997.12657,96528,0.9969561,30.679
52,96389,310,3.2148,996.7852,96234,0.9966341,29.766
53,96079,338,3.51747,996.48253,95910,0.9962905,28.861
54,95741,374,3.90215,996.09785,95554,0.9958904,27.961
55,95368,412,4.31793,995.68207,95162,0.9955045,27.068
56,94956,444,4.67379,995.32621,94734,0.995062,26.184
57,94512,492,5.20349,994.79651,94266,0.9945331,25.304
58,94020,539,5.73172,994.26828,93751,0.9939643,24.434
59,93481,593,6.34144,993.65856,93185,0.9932756,23.572
60,92889,660,7.10989,992.89011,92558,0.9924838,22.719
61,92228,731,7.92538,992.07462,91863,0.9916675,21.878
62,91497,800,8.74281,991.25719,91097,0.9907587,21.049
63,90697,884,9.74423,990.25577,90255,0.9897585,20.23
64,89813,965,10.74365,989.25635,89331,0.98876,19.424
65,88849,1043,11.74176,988.25824,88327,0.9876604,18.63
66,87805,1137,12.94456,987.05544,87237,0.9863891,17.845
67,86669,1238,14.286,985.714,86050,0.9849466,17.073
68,85431,1353,15.83202,984.16798,84754,0.9833715,16.313
69,84078,1466,17.43769,982.56231,83345,0.9815883,15.567
70,82612,1603,19.40293,980.59707,81810,0.9797333,14.835
71,81009,1713,21.1476,978.8524,80152,0.9777879,14.118
72,79296,1848,23.29959,976.70041,78372,0.9756776,13.413
73,77448,1965,25.36968,974.63032,76466,0.9732252,12.721
